"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"6292","2023-10-05 20:39","Queen","Killer Queen - Remastered 2011",179600,0.535,0.65,10,-6.328,1,0.0554,0.379,0,0.14,0.61,117.188,"audio_features","7GqWnsKhMtEW0nzki5o0d8","spotify:track:7GqWnsKhMtEW0nzki5o0d8","https://api.spotify.com/v1/tracks/7GqWnsKhMtEW0nzki5o0d8","https://api.spotify.com/v1/audio-analysis/7GqWnsKhMtEW0nzki5o0d8",179600,4,"classic rock"
"6303","2023-10-05 20:43","KISS","I Was Made For Lovin' You",271240,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,"audio_features","07q0QVgO56EorrSGHC48y3","spotify:track:07q0QVgO56EorrSGHC48y3","https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3","https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3",271240,4,"glam rock"
"6317","2023-10-05 20:46","Elton John","Tiny Dancer",140834,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,"audio_features","2TVxnKdb3tqe1nhQWwwZCO","spotify:track:2TVxnKdb3tqe1nhQWwwZCO","https://api.spotify.com/v1/tracks/2TVxnKdb3tqe1nhQWwwZCO","https://api.spotify.com/v1/audio-analysis/2TVxnKdb3tqe1nhQWwwZCO",377093,4,"glam rock"
"6323","2023-10-06 07:04","Elton John","Tiny Dancer",236283,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,"audio_features","2TVxnKdb3tqe1nhQWwwZCO","spotify:track:2TVxnKdb3tqe1nhQWwwZCO","https://api.spotify.com/v1/tracks/2TVxnKdb3tqe1nhQWwwZCO","https://api.spotify.com/v1/audio-analysis/2TVxnKdb3tqe1nhQWwwZCO",377093,4,"glam rock"
"6333","2023-10-06 07:09","Greta Van Fleet","Black Smoke Rising",259893,0.558,0.902,7,-4.018,1,0.0464,0.197,0.000148,0.0852,0.572,100.027,"audio_features","32BEasyNQgqXQJKoVa0fUw","spotify:track:32BEasyNQgqXQJKoVa0fUw","https://api.spotify.com/v1/tracks/32BEasyNQgqXQJKoVa0fUw","https://api.spotify.com/v1/audio-analysis/32BEasyNQgqXQJKoVa0fUw",259893,4,"modern blues rock"
"6342","2023-10-06 07:12","The Hives","Hate To Say I Told You So",200693,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,"audio_features","6xxXrNJnnsQNLdgNk8S4y8","spotify:track:6xxXrNJnnsQNLdgNk8S4y8","https://api.spotify.com/v1/tracks/6xxXrNJnnsQNLdgNk8S4y8","https://api.spotify.com/v1/audio-analysis/6xxXrNJnnsQNLdgNk8S4y8",199760,4,"alternative rock"
"6352","2023-10-06 07:17","Spacehog","In the Meantime",299506,0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,"audio_features","02lTDOxHeXTHsdwXoz6lpC","spotify:track:02lTDOxHeXTHsdwXoz6lpC","https://api.spotify.com/v1/tracks/02lTDOxHeXTHsdwXoz6lpC","https://api.spotify.com/v1/audio-analysis/02lTDOxHeXTHsdwXoz6lpC",299507,4,"glam rock"
"6363","2023-10-06 07:21","Bon Jovi","Livin' On A Prayer",249293,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,"audio_features","37ZJ0p5Jm13JPevGcx4SkF","spotify:track:37ZJ0p5Jm13JPevGcx4SkF","https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF","https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF",249293,4,"glam metal"
"6373","2023-10-06 07:25","Arctic Monkeys","R U Mine?",201726,0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,"audio_features","2AT8iROs4FQueDv2c8q2KE","spotify:track:2AT8iROs4FQueDv2c8q2KE","https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE","https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE",201726,4,"garage rock"
"6382","2023-10-06 07:27","Blur","Song 2 - 2012 Remaster",121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,"audio_features","1FTSo4v6BOZH9QxKc3MbVM","spotify:track:1FTSo4v6BOZH9QxKc3MbVM","https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM","https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM",121160,4,"alternative rock"
